"municipality" "state" "obras" "region" "ibge_code7" "dsu_inf" "dsu_cre" "dsu_pre" "dsu_fun" "dsu_ai" "dsu_af" "ibge_code" "atu_inf" "atu_cre" "atu_pre" "atu_fun" "atu_ai" "atu_af" "tdi_fun" "tdi_ai" "tdi_af" "ideb_ai_2015" "ideb_af_2015" "area" "low_income_families2010" "poor_families2010" "transfers_fpm2016" "transfers_fundeb2016" "transfers_total2016" "partymayor" "partymayorpmdb" "partymayorpsdb" "partymayorpsd" "partymayorpp" "partymayorpsb" "partymayorpdt" "partymayorpt" "profprofessormayor" "lameduckmayor" "femalemayor" "nonwhitemayor" "agemayor" "avgpartycouncilorpmdb" "avgpartycouncilorpsdb" "avgpartycouncilorpsd" "avgpartycouncilorpp" "avgpartycouncilorpsb" "avgpartycouncilorpdt" "avgpartycouncilorpt" "avgprofprofessorcouncilor" "avgfemalecouncilor" "avgnonwhitecouncilor" "avgagecouncilor" "vtreataic_940_95" "vtreataic_944_52" "vtreataic_946_29" "vtreataic_944_15" "vtreataic_944_39" "vtreataic_942_13" "vtreataic_940_2" "vtreataic_942_67" "vtreataic_937_41" "vtreataic_941_05" "vtreataic_936_98" "vtreataic_942_44" "vtreataic_945_24" "vtreataic_938" "vtreataic_944_86" "vtreataic_945_14" "vtreataic_944_62" "vtreataic_945_47" "vtreataic_939_93"
"Santo André" "PB" 1 "Nordeste" 2513851 75 50 100 75 77.8 61.5 "251385" 15.6 13 18.3 20.7 22 19 15.3 9.5 23.7 4.8 4.2 225.17 511 415 6884603.08 1827725.03 1949226.28 "PDT" 0 0 0 0 0 1 0 0 1 1 0 47 0.222222222222222 0.111111111111111 0.111111111111111 0 0.222222222222222 0.111111111111111 0 0 0.111111111111111 0.666666666666667 36.7777777777778 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 0 0 1 1
"Estância" "SE" 4 "Nordeste" 2802106 78 56.5 85.3 91.8 87.1 95.2 "280210" 17.7 15.8 19.3 26.8 24.3 31.6 40 25.1 60.6 3.9 2.8 642.31 10400 7667 26700583.95 40060141.6 17726351.15 "PTC" 0 0 0 0 0 0 0 0 0 0 1 54 0 0.0666666666666667 0.0666666666666667 0 0.133333333333333 0 0.0666666666666667 0.0666666666666667 0.0666666666666667 0.533333333333333 44.0666666666667 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1
"São Vicente do Sul" "RS" 1 "Sul" 4319802 88.2 71.4 100 96.2 92.3 100 "431980" 16 15.2 16.5 14.5 13.5 16.3 23.7 13.7 37.4 5.3 4.9 1174.94 1002 660 6346063.96 3290663.53 2263175.62 "PMDB" 1 0 0 0 0 0 0 0 0 0 0 44 0.222222222222222 0 0 0.111111111111111 0 0.111111111111111 0.222222222222222 0 0 0.222222222222222 49.7777777777778 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1
"Encantado" "RS" 1 "Sul" 4306809 64.4 48.4 79.3 97.1 95.6 100 "430680" 14.9 17.4 12.2 15.1 15.7 15.3 12.3 2.8 31.9 6.8 4.9 139.16 775 434 12692127.59 6876079.68 4539094.25 "PSDB" 0 1 0 0 0 0 0 0 0 0 0 76 0.363636363636364 0 0 0.363636363636364 0 0.0909090909090909 0.0909090909090909 0 0.181818181818182 0 44.1818181818182 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0
"Alexânia" "GO" 2 "Centro-Oeste" 5200308 42 24 53.6 67 59.2 82.9 "520030" 20.8 26.2 19 21.9 21.8 24.1 14.7 8.8 35.5 5 4 847.89 2955 1886 14893308.32 11919988.08 6099696.16 "PPS" 0 0 0 0 0 0 0 0 0 0 0 31 0.0909090909090909 0.181818181818182 0.0909090909090909 0 0.0909090909090909 0 0 0 0 0.636363636363636 42.3636363636364 1 0 1 1 0 1 1 1 1 0 1 0 1 1 0 1 1 1 1
"Maranhãozinho" "MA" 2 "Nordeste" 2106375 7.3 5.3 9.1 28.6 22.5 34.3 "210637" 17.4 14.4 20.2 21.5 22.4 24.7 27 18 39.1 3.8 3.6 956.06 2495 2122 9978304.83 13830314.21 6058419.43 "PR" 0 0 0 0 0 0 0 0 1 0 0 48 0 0 0.111111111111111 0 0 0 0 0.222222222222222 0 0.777777777777778 44.8888888888889 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 0 1 1 1
"Valinhos" "SP" 1 "Sudeste" 3556206 95.8 88.2 96.8 97 95.1 100 "355620" 18.6 16.6 20.4 22.9 22.3 24.2 17.2 12.9 25 6.2 5.3 148.53 3053 1581 37432296.84 41881506.71 20542088.42 "PMDB" 1 0 0 0 0 0 0 0 0 0 0 49 0.235294117647059 0.176470588235294 0 0.0588235294117647 0.0588235294117647 0.117647058823529 0 0.0588235294117647 0.117647058823529 0 42.9411764705882 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1
"Benedito Leite" "MA" 2 "Nordeste" 2101806 40 66.7 28.6 71.8 68.1 77.8 "210180" 21 20.5 21.1 19.2 22.6 21.7 42.4 33.7 56.3 3.6 3.6 1781.66 1064 886 5986982.99 3852063.65 2435727.04 "PMDB" 1 0 0 0 0 0 0 0 0 0 1 29 0.222222222222222 0 0 0 0 0 0 0.111111111111111 0.222222222222222 1 38.1111111111111 1 0 1 1 1 1 1 1 1 1 1 0 0 1 0 1 0 0 1
"Ipuã" "SP" 1 "Sudeste" 3521309 78.3 66.7 85.7 99.1 98.1 100 "352130" 16 12.6 19.9 18.8 18.9 18.7 11.3 6.6 17.2 6.6 5 465.6 1155 580 11009499.3 9899624.43 5421359.97 "PMDB" 1 0 0 0 0 0 0 0 0 0 0 59 0.333333333333333 0.222222222222222 0 0 0.111111111111111 0 0 0 0 0.444444444444444 49.1111111111111 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1
"São José do Egito" "PE" 2 "Nordeste" 2613602 72.3 72 73.2 84.7 75.7 92.9 "261360" 16.4 16.7 16.2 22.2 20.5 25 17.2 11 25.4 5.6 4.2 791.9 5966 4728 19359192.17 15978683.05 8161762.08 "PSB" 0 0 0 0 1 0 0 0 0 0 0 63 0 0 0 0 0.461538461538462 0 0.230769230769231 0 0.0769230769230769 0.461538461538462 50.3076923076923 1 0 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1
"Campo Novo de Rondônia" "RO" 5 "Norte" 1100700 86.7 100 80 84.5 86.5 86.7 "110070" 19.6 23.3 18.8 22.3 22 23.4 27.8 22.3 45.8 4.2 4.3 3442 2114 1613 8311872.46 7212090.26 3970107.59 "SD" 0 0 0 0 0 0 0 0 1 0 0 54 0 0.333333333333333 0 0 0 0.111111111111111 0 0.111111111111111 0.111111111111111 0.444444444444444 37 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 0
"Santa Cruz do Capibaribe" "PE" 4 "Nordeste" 2612505 29.5 20 40.4 68.7 60.7 80.4 "261250" 20.8 19.1 21.7 27.6 26.6 29.7 24.5 18.2 37.1 5 4 335.53 10753 6248 36298485.19 36453468.82 16884129.75 "PSDB" 0 1 0 0 0 0 0 0 0 0 0 42 0.0625 0.1875 0.0625 0 0.0625 0 0.125 0.0625 0.0625 0.375 40.75 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1
"Piratuba" "SC" 1 "Sul" 4213104 88.9 88.2 90.6 94.4 92 100 "421310" 13.8 15.1 12.4 12.8 11.1 15.6 6.1 4.1 8.4 7.3 6.4 145.7 306 158 5873586.98 3507203.07 3005339.4 "PSD" 0 0 1 0 0 0 0 0 0 0 0 56 0.444444444444444 0.222222222222222 0.111111111111111 0 0.111111111111111 0 0.111111111111111 0.111111111111111 0.333333333333333 0 40.5555555555556 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1
"Pilão Arcado" "BA" 1 "Nordeste" 2924405 30.6 27.3 32.7 28.3 20.9 33.4 "292440" 20.9 26 18.8 17.4 18.2 23.9 50.7 39 68.3 3.3 2.9 11700.01 6260 5293 19220929.3 26977315.82 11326359.48 "PP" 0 0 0 1 0 0 0 0 0 0 0 43 0 0 0.153846153846154 0.230769230769231 0 0.153846153846154 0 0.0769230769230769 0 0.692307692307692 39.5384615384615 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1
"Santo Estêvão" "BA" 1 "Nordeste" 2928802 53.8 50 58.8 76.6 58.5 85.6 "292880" 16.6 15.7 17 24.7 22.2 28.8 34.5 22.5 48.5 4 2.9 365.14 8001 6073 26428777.71 25944737.47 12187344.02 "PT" 0 0 0 0 0 0 1 0 0 0 1 55 0 0 0.0666666666666667 0.133333333333333 0 0 0.2 0 0 0.666666666666667 43.8666666666667 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1
"Espigão D'Oeste" "RO" 1 "Norte" 1100098 93.9 77.8 100 100 100 100 "110009" 21.7 20.1 22.1 22.6 22.5 23.5 15.5 9 31.3 5.8 4.2 4518.06 3354 2335 13298995.78 10193025.21 5650416.17 "PP" 0 0 0 1 0 0 0 0 0 0 0 59 0 0.181818181818182 0 0.181818181818182 0 0 0.0909090909090909 0.181818181818182 0.181818181818182 0.181818181818182 43.4545454545455 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
